
   INFO  Server running on [http://127.0.0.1:8010].  

  Press Ctrl+C to stop the server
  2026-05-19 15:46:48 /storage/uploads/sanpham/1778729998_imported_9a8cfa1e1d94a02d8556be606cfebd94.png .... ~ 3.55ms
  2026-05-19 15:46:48 /storage/uploads/sanpham/1778730001_imported_662f6d759b3735b800bae04a4132dde4.png .... ~ 4.55ms
  2026-05-19 15:46:48 /storage/uploads/sanpham/1778729969_imported_bf53ca0861ddb9607dd8140588ee81a0.png .... ~ 4.10ms
  2026-05-19 15:46:48 /storage/uploads/sanpham/1778730009_imported_9beeefa4cbfc7ede363311a4fc469ee6.png .... ~ 5.26ms
  2026-05-19 15:46:48 /storage/uploads/sanpham/1778730016_imported_b2a7e1761c3d4ae2d07eda203149ce44.png .... ~ 7.83ms
  2026-05-19 15:46:48 /storage/uploads/sanpham/1778729984_imported_b0bda4678e69a60c44a7f6dbcd349088.png .... ~ 0.28ms
  2026-05-19 15:46:48 /storage/uploads/sanpham/1778729849_imported_9f6b831975ea3a8616abaab9b9a08620.jpg .... ~ 2.09ms
  2026-05-19 15:46:48 /storage/uploads/sanpham/1778730007_imported_42128889293ff9f0d4c26fffe2be07f9.png .... ~ 3.38ms
  2026-05-19 15:46:48 /favicon.ico ......................................................................... ~ 0.26ms
  2026-05-19 15:48:07 / .................................................................................. ~ 504.61ms
  2026-05-19 15:48:08 /build/assets/app-D0xft3TR.css ....................................................... ~ 0.49ms
  2026-05-19 15:48:08 /build/assets/app-B2ie28WF.js ........................................................ ~ 5.07ms
  2026-05-19 15:48:08 /build/assets/trangChu-l0sNRNKZ.js ................................................... ~ 9.43ms
  2026-05-19 15:48:08 /storage/uploads/sanpham/1778730033_imported_dddb8b697af0a7043a46ff1582c69dbe.png .... ~ 0.66ms
  2026-05-19 15:48:08 /storage/uploads/sanpham/1778730032_imported_d1624730cc02674342bf9d65ff3e4859.png .... ~ 2.26ms
  2026-05-19 15:48:08 /favicon.ico ......................................................................... ~ 1.81ms
  2026-05-19 15:48:08 /storage/uploads/sanpham/1779163404_0_7.png .......................................... ~ 6.57ms
  2026-05-19 15:48:08 /storage/uploads/sanpham/1778730030_imported_ab7dfa25d15b1fbf63fce91ea3d4a115.png .... ~ 9.30ms
  2026-05-19 15:48:08 /storage/uploads/sanpham/1778730024_imported_a743b0439cad7ca5b55ced264df4b5b3.png ... ~ 11.40ms
  2026-05-19 15:48:08 /storage/uploads/sanpham/1778730032_imported_f869239465d44a679dfb7e67916643da.png ... ~ 13.32ms
  2026-05-19 15:48:08 /storage/uploads/sanpham/1778730024_imported_ea9cca82768296fd43fb58c582b86adb.png .. ~ 509.93ms
  2026-05-19 15:48:08 /storage/uploads/sanpham/1778729969_imported_bf53ca0861ddb9607dd8140588ee81a0.png .... ~ 0.62ms
  2026-05-19 15:48:08 /storage/uploads/sanpham/1778730016_imported_b2a7e1761c3d4ae2d07eda203149ce44.png .. ~ 514.02ms
  2026-05-19 15:48:08 /storage/uploads/sanpham/1778730009_imported_9beeefa4cbfc7ede363311a4fc469ee6.png .... ~ 2.18ms
  2026-05-19 15:48:08 /storage/uploads/sanpham/1778729998_imported_9a8cfa1e1d94a02d8556be606cfebd94.png ... ~ 11.07ms
  2026-05-19 15:48:08 /storage/uploads/sanpham/1778730001_imported_662f6d759b3735b800bae04a4132dde4.png ... ~ 12.45ms
  2026-05-19 15:48:08 /storage/uploads/sanpham/1778729984_imported_b0bda4678e69a60c44a7f6dbcd349088.png .... ~ 2.08ms
  2026-05-19 15:48:08 /storage/uploads/sanpham/1778729849_imported_9f6b831975ea3a8616abaab9b9a08620.jpg .... ~ 4.47ms
  2026-05-19 15:48:08 /storage/uploads/sanpham/1778730007_imported_42128889293ff9f0d4c26fffe2be07f9.png .... ~ 1.88ms
  2026-05-19 15:48:10 /san-pham/MC-20260514-ERHHU .......................................................... ~ 1 giây
  2026-05-19 15:48:11 /build/assets/app-D0xft3TR.css ....................................................... ~ 1 giây
  2026-05-19 15:48:12 /build/assets/app-B2ie28WF.js ........................................................ ~ 3.41ms
  2026-05-19 15:48:12 /storage/uploads/sanpham/1778729984_imported_b0bda4678e69a60c44a7f6dbcd349088.png .... ~ 6.48ms
  2026-05-19 15:48:12 /build/assets/chiTiet-l0sNRNKZ.js .................................................... ~ 7.46ms
  2026-05-19 15:48:12 /storage/uploads/sanpham/1778730007_imported_42128889293ff9f0d4c26fffe2be07f9.png .... ~ 9.05ms
  2026-05-19 15:48:12 /storage/uploads/sanpham/1778730001_imported_662f6d759b3735b800bae04a4132dde4.png .... ~ 7.19ms
  2026-05-19 15:48:12 /storage/uploads/sanpham/1778729998_imported_9a8cfa1e1d94a02d8556be606cfebd94.png .... ~ 4.97ms
  2026-05-19 15:48:12 /storage/uploads/sanpham/1778729963_imported_51b0fd83d248704512783f609cd96fcc.png .. ~ 511.43ms
  2026-05-19 15:48:12 /favicon.ico ......................................................................... ~ 0.74ms
  2026-05-19 15:48:14 /favicon.ico ......................................................................... ~ 3.41ms
  2026-05-19 15:49:18 / .................................................................................. ~ 514.20ms
  2026-05-19 15:49:18 /build/assets/app-D0xft3TR.css ....................................................... ~ 0.45ms
  2026-05-19 15:49:18 /build/assets/app-B2ie28WF.js ........................................................ ~ 2.66ms
  2026-05-19 15:49:18 /build/assets/trangChu-l0sNRNKZ.js ................................................... ~ 4.70ms
  2026-05-19 15:49:18 /storage/uploads/sanpham/1778730033_imported_dddb8b697af0a7043a46ff1582c69dbe.png .... ~ 0.41ms
  2026-05-19 15:49:18 /storage/uploads/sanpham/1778730032_imported_d1624730cc02674342bf9d65ff3e4859.png .... ~ 1.44ms
  2026-05-19 15:49:18 /storage/uploads/sanpham/1778730032_imported_f869239465d44a679dfb7e67916643da.png .... ~ 2.34ms
  2026-05-19 15:49:18 /storage/uploads/sanpham/1779163404_0_7.png .......................................... ~ 4.08ms
  2026-05-19 15:49:18 /storage/uploads/sanpham/1778730030_imported_ab7dfa25d15b1fbf63fce91ea3d4a115.png .... ~ 4.91ms
  2026-05-19 15:49:18 /storage/uploads/sanpham/1778730024_imported_ea9cca82768296fd43fb58c582b86adb.png .... ~ 0.37ms
  2026-05-19 15:49:18 /storage/uploads/sanpham/1778730024_imported_a743b0439cad7ca5b55ced264df4b5b3.png .... ~ 2.57ms
  2026-05-19 15:49:18 /favicon.ico ......................................................................... ~ 2.45ms
  2026-05-19 15:49:18 /storage/uploads/sanpham/1778730001_imported_662f6d759b3735b800bae04a4132dde4.png .... ~ 4.80ms
  2026-05-19 15:49:18 /storage/uploads/sanpham/1778729998_imported_9a8cfa1e1d94a02d8556be606cfebd94.png .... ~ 5.88ms
  2026-05-19 15:49:18 /storage/uploads/sanpham/1778730016_imported_b2a7e1761c3d4ae2d07eda203149ce44.png .... ~ 6.95ms
  2026-05-19 15:49:18 /storage/uploads/sanpham/1778729969_imported_bf53ca0861ddb9607dd8140588ee81a0.png .... ~ 0.30ms
  2026-05-19 15:49:18 /storage/uploads/sanpham/1778730009_imported_9beeefa4cbfc7ede363311a4fc469ee6.png .... ~ 0.37ms
  2026-05-19 15:49:18 /storage/uploads/sanpham/1778729984_imported_b0bda4678e69a60c44a7f6dbcd349088.png .... ~ 1.37ms
  2026-05-19 15:49:18 /storage/uploads/sanpham/1778729849_imported_9f6b831975ea3a8616abaab9b9a08620.jpg .... ~ 2.50ms
  2026-05-19 15:49:18 /storage/uploads/sanpham/1778730007_imported_42128889293ff9f0d4c26fffe2be07f9.png .... ~ 3.72ms
  2026-05-19 15:49:19 /san-pham/MC-20260514-03BM0 .......................................................... ~ 1 giây
  2026-05-19 15:49:20 /build/assets/app-D0xft3TR.css ....................................................... ~ 0.69ms
  2026-05-19 15:49:20 /build/assets/app-B2ie28WF.js ........................................................ ~ 3.09ms
  2026-05-19 15:49:20 /storage/uploads/sanpham/1778730009_imported_9beeefa4cbfc7ede363311a4fc469ee6.png .... ~ 5.34ms
  2026-05-19 15:49:20 /build/assets/chiTiet-l0sNRNKZ.js .................................................... ~ 3.95ms
  2026-05-19 15:49:20 /storage/uploads/sanpham/1778729994_imported_45d421f967ee1aaab8a6de7463312d39.png .... ~ 3.39ms
  2026-05-19 15:49:20 /storage/uploads/sanpham/1778729965_imported_654de95c8f1463961e9d49b49292168c.png .... ~ 4.44ms
  2026-05-19 15:49:20 /storage/uploads/sanpham/1778729999_imported_9efde3f93125dc8838246c4ccb7648c9.png .... ~ 7.65ms
  2026-05-19 15:49:20 /storage/uploads/sanpham/1778730032_imported_f869239465d44a679dfb7e67916643da.png ... ~ 11.66ms
  2026-05-19 15:49:20 /favicon.ico ......................................................................... ~ 0.30ms
  2026-05-19 15:50:45 ............................................................................... ~ 4 phút 3 giây
  2026-05-19 16:06:15 /san-pham/MC-20260514-03BM0 .......................................................... ~ 1 giây
  2026-05-19 16:06:15 /build/assets/app-D0xft3TR.css ....................................................... ~ 1 giây
  2026-05-19 16:06:16 /build/assets/app-B2ie28WF.js ........................................................ ~ 3.42ms
  2026-05-19 16:06:16 /build/assets/chiTiet-l0sNRNKZ.js .................................................... ~ 7.83ms
  2026-05-19 16:06:16 /storage/uploads/sanpham/1778730009_imported_9beeefa4cbfc7ede363311a4fc469ee6.png ... ~ 11.19ms
  2026-05-19 16:06:16 /storage/uploads/sanpham/1778729994_imported_45d421f967ee1aaab8a6de7463312d39.png .... ~ 6.01ms
  2026-05-19 16:06:16 /storage/uploads/sanpham/1778729965_imported_654de95c8f1463961e9d49b49292168c.png .... ~ 5.20ms
  2026-05-19 16:06:16 /storage/uploads/sanpham/1778729999_imported_9efde3f93125dc8838246c4ccb7648c9.png ... ~ 13.68ms
  2026-05-19 16:06:16 /storage/uploads/sanpham/1778730032_imported_f869239465d44a679dfb7e67916643da.png ... ~ 16.18ms
  2026-05-19 16:06:16 /favicon.ico ......................................................................... ~ 0.46ms
  2026-05-19 16:06:27 /dang-nhap ......................................................................... ~ 501.58ms
  2026-05-19 16:06:27 /build/assets/app-D0xft3TR.css ..................................................... ~ 507.40ms
  2026-05-19 16:06:27 /build/assets/app-B2ie28WF.js ...................................................... ~ 512.38ms
  2026-05-19 16:06:27 /favicon.ico ......................................................................... ~ 0.37ms
  2026-05-19 16:43:39 /favicon.ico ......................................................................... ~ 2.82ms
  2026-05-19 16:43:39 /dang-nhap ........................................................................... ~ 7 giây
  2026-05-19 16:43:46 /build/assets/app-D0xft3TR.css ....................................................... ~ 0.62ms
  2026-05-19 16:43:46 /build/assets/app-B2ie28WF.js ........................................................ ~ 3.09ms
  2026-05-19 16:43:46 /favicon.ico ......................................................................... ~ 0.38ms
  2026-05-19 16:44:08 /dang-ky ............................................................................. ~ 0.68ms
  2026-05-19 16:44:08 /build/assets/app-D0xft3TR.css ....................................................... ~ 0.50ms
  2026-05-19 16:44:08 /build/assets/app-B2ie28WF.js ........................................................ ~ 3.09ms
  2026-05-19 16:44:09 /favicon.ico ......................................................................... ~ 3.36ms
